AREA,FORECAST,DATE,TIME,Count
Western Water Catchment,Partly Cloudy (Night),2024-03-20,00:00:00,1
Woodlands,Partly Cloudy (Night),2024-03-20,00:00:00,239
Yishun,Partly Cloudy (Night),2024-03-20,00:00:00,225
Ang Mo Kio,Partly Cloudy (Night),2024-03-20,01:00:00,150
Bedok,Partly Cloudy (Night),2024-03-20,01:00:00,229
Bishan,Partly Cloudy (Night),2024-03-20,01:00:00,73
Boon Lay,Partly Cloudy (Night),2024-03-20,01:00:00,5
Bukit Batok,Partly Cloudy (Night),2024-03-20,01:00:00,165
Bukit Merah,Partly Cloudy (Night),2024-03-20,01:00:00,206
Bukit Panjang,Partly Cloudy (Night),2024-03-20,01:00:00,103
Bukit Timah,Partly Cloudy (Night),2024-03-20,01:00:00,98
Central Water Catchment,Partly Cloudy (Night),2024-03-20,01:00:00,4
Changi,Partly Cloudy (Night),2024-03-20,01:00:00,768
Choa Chu Kang,Partly Cloudy (Night),2024-03-20,01:00:00,148
City,Partly Cloudy (Night),2024-03-20,01:00:00,676
Clementi,Partly Cloudy (Night),2024-03-20,01:00:00,140
Geylang,Partly Cloudy (Night),2024-03-20,01:00:00,356
Hougang,Partly Cloudy (Night),2024-03-20,01:00:00,164
Jalan Bahar,Partly Cloudy (Night),2024-03-20,01:00:00,6
Jurong East,Partly Cloudy (Night),2024-03-20,01:00:00,106
Jurong Island,Partly Cloudy (Night),2024-03-20,01:00:00,1
Jurong West,Partly Cloudy (Night),2024-03-20,01:00:00,173
Kallang,Partly Cloudy (Night),2024-03-20,01:00:00,433
Mandai,Partly Cloudy (Night),2024-03-20,01:00:00,27
Marine Parade,Partly Cloudy (Night),2024-03-20,01:00:00,43
Novena,Partly Cloudy (Night),2024-03-20,01:00:00,86
Pasir Ris,Partly Cloudy (Night),2024-03-20,01:00:00,165
Paya Lebar,Partly Cloudy (Night),2024-03-20,01:00:00,47
Pioneer,Partly Cloudy (Night),2024-03-20,01:00:00,14
Pulau Ubin,Partly Cloudy (Night),2024-03-20,01:00:00,4
Punggol,Partly Cloudy (Night),2024-03-20,01:00:00,164
Queenstown,Partly Cloudy (Night),2024-03-20,01:00:00,98
Seletar,Partly Cloudy (Night),2024-03-20,01:00:00,86
Sembawang,Partly Cloudy (Night),2024-03-20,01:00:00,192
Sengkang,Partly Cloudy (Night),2024-03-20,01:00:00,209
Sentosa,Partly Cloudy (Night),2024-03-20,01:00:00,28
Serangoon,Partly Cloudy (Night),2024-03-20,01:00:00,237
Sungei Kadut,Partly Cloudy (Night),2024-03-20,01:00:00,84
Tampines,Partly Cloudy (Night),2024-03-20,01:00:00,244
Tanglin,Partly Cloudy (Night),2024-03-20,01:00:00,64
Tengah,Partly Cloudy (Night),2024-03-20,01:00:00,9
Toa Payoh,Partly Cloudy (Night),2024-03-20,01:00:00,244
Tuas,Partly Cloudy (Night),2024-03-20,01:00:00,10
Woodlands,Partly Cloudy (Night),2024-03-20,01:00:00,279
Yishun,Partly Cloudy (Night),2024-03-20,01:00:00,239
Ang Mo Kio,Partly Cloudy (Night),2024-03-20,02:00:00,97
Bedok,Partly Cloudy (Night),2024-03-20,02:00:00,174
Bishan,Partly Cloudy (Night),2024-03-20,02:00:00,42
Boon Lay,Partly Cloudy (Night),2024-03-20,02:00:00,5
Bukit Batok,Partly Cloudy (Night),2024-03-20,02:00:00,130
Bukit Merah,Partly Cloudy (Night),2024-03-20,02:00:00,163
Bukit Panjang,Partly Cloudy (Night),2024-03-20,02:00:00,85
Bukit Timah,Partly Cloudy (Night),2024-03-20,02:00:00,49
Central Water Catchment,Partly Cloudy (Night),2024-03-20,02:00:00,8
Changi,Partly Cloudy (Night),2024-03-20,02:00:00,506
Choa Chu Kang,Partly Cloudy (Night),2024-03-20,02:00:00,138
City,Partly Cloudy (Night),2024-03-20,02:00:00,591
Clementi,Partly Cloudy (Night),2024-03-20,02:00:00,97
Geylang,Partly Cloudy (Night),2024-03-20,02:00:00,359
Hougang,Partly Cloudy (Night),2024-03-20,02:00:00,106
Jalan Bahar,Partly Cloudy (Night),2024-03-20,02:00:00,8
Jurong East,Partly Cloudy (Night),2024-03-20,02:00:00,102
Jurong West,Partly Cloudy (Night),2024-03-20,02:00:00,163
Kallang,Partly Cloudy (Night),2024-03-20,02:00:00,407
Mandai,Partly Cloudy (Night),2024-03-20,02:00:00,25
Marine Parade,Partly Cloudy (Night),2024-03-20,02:00:00,19
Novena,Partly Cloudy (Night),2024-03-20,02:00:00,67
Pasir Ris,Partly Cloudy (Night),2024-03-20,02:00:00,128
Paya Lebar,Partly Cloudy (Night),2024-03-20,02:00:00,26
Pioneer,Partly Cloudy (Night),2024-03-20,02:00:00,29
Pulau Ubin,Partly Cloudy (Night),2024-03-20,02:00:00,7
Punggol,Partly Cloudy (Night),2024-03-20,02:00:00,119
Queenstown,Partly Cloudy (Night),2024-03-20,02:00:00,51
Seletar,Partly Cloudy (Night),2024-03-20,02:00:00,51
Sembawang,Partly Cloudy (Night),2024-03-20,02:00:00,161
Sengkang,Partly Cloudy (Night),2024-03-20,02:00:00,144
Sentosa,Partly Cloudy (Night),2024-03-20,02:00:00,60
Serangoon,Partly Cloudy (Night),2024-03-20,02:00:00,162
Sungei Kadut,Partly Cloudy (Night),2024-03-20,02:00:00,72
Tampines,Partly Cloudy (Night),2024-03-20,02:00:00,151
Tanglin,Partly Cloudy (Night),2024-03-20,02:00:00,48
Tengah,Partly Cloudy (Night),2024-03-20,02:00:00,6
Toa Payoh,Partly Cloudy (Night),2024-03-20,02:00:00,204
Woodlands,Partly Cloudy (Night),2024-03-20,02:00:00,225
Yishun,Partly Cloudy (Night),2024-03-20,02:00:00,140
Ang Mo Kio,Partly Cloudy (Night),2024-03-20,03:00:00,87
Bedok,Partly Cloudy (Night),2024-03-20,03:00:00,166
Bishan,Partly Cloudy (Night),2024-03-20,03:00:00,53
Boon Lay,Partly Cloudy (Night),2024-03-20,03:00:00,9
Bukit Batok,Partly Cloudy (Night),2024-03-20,03:00:00,69
Bukit Merah,Partly Cloudy (Night),2024-03-20,03:00:00,120
Bukit Panjang,Partly Cloudy (Night),2024-03-20,03:00:00,58
Bukit Timah,Partly Cloudy (Night),2024-03-20,03:00:00,40
Central Water Catchment,Partly Cloudy (Night),2024-03-20,03:00:00,2
Changi,Partly Cloudy (Night),2024-03-20,03:00:00,391
Choa Chu Kang,Partly Cloudy (Night),2024-03-20,03:00:00,88
City,Partly Cloudy (Night),2024-03-20,03:00:00,416
Clementi,Partly Cloudy (Night),2024-03-20,03:00:00,71
Geylang,Partly Cloudy (Night),2024-03-20,03:00:00,243
Hougang,Partly Cloudy (Night),2024-03-20,03:00:00,90
Jalan Bahar,Partly Cloudy (Night),2024-03-20,03:00:00,2
Jurong East,Partly Cloudy (Night),2024-03-20,03:00:00,64
Jurong West,Partly Cloudy (Night),2024-03-20,03:00:00,121
Kallang,Partly Cloudy (Night),2024-03-20,03:00:00,289
Mandai,Partly Cloudy (Night),2024-03-20,03:00:00,10
Marine Parade,Partly Cloudy (Night),2024-03-20,03:00:00,21
Novena,Partly Cloudy (Night),2024-03-20,03:00:00,49
Pasir Ris,Partly Cloudy (Night),2024-03-20,03:00:00,136
Paya Lebar,Partly Cloudy (Night),2024-03-20,03:00:00,32
Pioneer,Partly Cloudy (Night),2024-03-20,03:00:00,10
Pulau Ubin,Partly Cloudy (Night),2024-03-20,03:00:00,1
Punggol,Partly Cloudy (Night),2024-03-20,03:00:00,97
Queenstown,Partly Cloudy (Night),2024-03-20,03:00:00,46
Seletar,Partly Cloudy (Night),2024-03-20,03:00:00,47
Sembawang,Partly Cloudy (Night),2024-03-20,03:00:00,113
Sengkang,Partly Cloudy (Night),2024-03-20,03:00:00,115
Sentosa,Partly Cloudy (Night),2024-03-20,03:00:00,35
Serangoon,Partly Cloudy (Night),2024-03-20,03:00:00,127
Sungei Kadut,Partly Cloudy (Night),2024-03-20,03:00:00,77
Tampines,Partly Cloudy (Night),2024-03-20,03:00:00,114
Tanglin,Partly Cloudy (Night),2024-03-20,03:00:00,31
Tengah,Partly Cloudy (Night),2024-03-20,03:00:00,5
Toa Payoh,Partly Cloudy (Night),2024-03-20,03:00:00,144
Tuas,Partly Cloudy (Night),2024-03-20,03:00:00,3
Woodlands,Partly Cloudy (Night),2024-03-20,03:00:00,210
Yishun,Partly Cloudy (Night),2024-03-20,03:00:00,111
Ang Mo Kio,Partly Cloudy (Night),2024-03-20,04:00:00,68
Bedok,Partly Cloudy (Night),2024-03-20,04:00:00,156
Bishan,Partly Cloudy (Night),2024-03-20,04:00:00,47
Boon Lay,Partly Cloudy (Night),2024-03-20,04:00:00,5
Bukit Batok,Partly Cloudy (Night),2024-03-20,04:00:00,105
Bukit Merah,Partly Cloudy (Night),2024-03-20,04:00:00,122
Bukit Panjang,Partly Cloudy (Night),2024-03-20,04:00:00,66
Bukit Timah,Partly Cloudy (Night),2024-03-20,04:00:00,29
Central Water Catchment,Partly Cloudy (Night),2024-03-20,04:00:00,3
Changi,Partly Cloudy (Night),2024-03-20,04:00:00,499
Choa Chu Kang,Partly Cloudy (Night),2024-03-20,04:00:00,80
City,Partly Cloudy (Night),2024-03-20,04:00:00,312
Clementi,Partly Cloudy (Night),2024-03-20,04:00:00,83
Geylang,Partly Cloudy (Night),2024-03-20,04:00:00,255
Hougang,Partly Cloudy (Night),2024-03-20,04:00:00,61
Jalan Bahar,Partly Cloudy (Night),2024-03-20,04:00:00,3
Jurong East,Partly Cloudy (Night),2024-03-20,04:00:00,40
Jurong West,Partly Cloudy (Night),2024-03-20,04:00:00,103
Kallang,Partly Cloudy (Night),2024-03-20,04:00:00,193
Mandai,Partly Cloudy (Night),2024-03-20,04:00:00,13
Marine Parade,Partly Cloudy (Night),2024-03-20,04:00:00,25
Novena,Partly Cloudy (Night),2024-03-20,04:00:00,31
Pasir Ris,Partly Cloudy (Night),2024-03-20,04:00:00,107
Paya Lebar,Partly Cloudy (Night),2024-03-20,04:00:00,11
Pioneer,Partly Cloudy (Night),2024-03-20,04:00:00,8
Punggol,Partly Cloudy (Night),2024-03-20,04:00:00,80
Queenstown,Partly Cloudy (Night),2024-03-20,04:00:00,36
Seletar,Partly Cloudy (Night),2024-03-20,04:00:00,54
Sembawang,Partly Cloudy (Night),2024-03-20,04:00:00,103
Sengkang,Partly Cloudy (Night),2024-03-20,04:00:00,114
Sentosa,Partly Cloudy (Night),2024-03-20,04:00:00,20
Serangoon,Partly Cloudy (Night),2024-03-20,04:00:00,101
Sungei Kadut,Partly Cloudy (Night),2024-03-20,04:00:00,46
Tampines,Partly Cloudy (Night),2024-03-20,04:00:00,136
Tanglin,Partly Cloudy (Night),2024-03-20,04:00:00,35
Tengah,Partly Cloudy (Night),2024-03-20,04:00:00,7
Toa Payoh,Partly Cloudy (Night),2024-03-20,04:00:00,108
Tuas,Partly Cloudy (Night),2024-03-20,04:00:00,3
Woodlands,Partly Cloudy (Night),2024-03-20,04:00:00,180
Yishun,Partly Cloudy (Night),2024-03-20,04:00:00,112
Ang Mo Kio,Partly Cloudy (Night),2024-03-20,05:00:00,102
Bedok,Partly Cloudy (Night),2024-03-20,05:00:00,227
Bishan,Partly Cloudy (Night),2024-03-20,05:00:00,46
Boon Lay,Partly Cloudy (Night),2024-03-20,05:00:00,6
Bukit Batok,Partly Cloudy (Night),2024-03-20,05:00:00,95
Bukit Merah,Partly Cloudy (Night),2024-03-20,05:00:00,122
Bukit Panjang,Partly Cloudy (Night),2024-03-20,05:00:00,63
Bukit Timah,Partly Cloudy (Night),2024-03-20,05:00:00,35
Central Water Catchment,Partly Cloudy (Night),2024-03-20,05:00:00,2
Changi,Partly Cloudy (Night),2024-03-20,05:00:00,771
Choa Chu Kang,Partly Cloudy (Night),2024-03-20,05:00:00,102
City,Partly Cloudy (Night),2024-03-20,05:00:00,269
Clementi,Partly Cloudy (Night),2024-03-20,05:00:00,87
Geylang,Partly Cloudy (Night),2024-03-20,05:00:00,191
Hougang,Partly Cloudy (Night),2024-03-20,05:00:00,88
Jalan Bahar,Partly Cloudy (Night),2024-03-20,05:00:00,5
Jurong East,Partly Cloudy (Night),2024-03-20,05:00:00,61
Jurong Island,Partly Cloudy (Night),2024-03-20,05:00:00,1
Jurong West,Partly Cloudy (Night),2024-03-20,05:00:00,125
Kallang,Partly Cloudy (Night),2024-03-20,05:00:00,165
Mandai,Partly Cloudy (Night),2024-03-20,05:00:00,13
Marine Parade,Partly Cloudy (Night),2024-03-20,05:00:00,25
Novena,Partly Cloudy (Night),2024-03-20,05:00:00,25
Pasir Ris,Partly Cloudy (Night),2024-03-20,05:00:00,198
Paya Lebar,Partly Cloudy (Night),2024-03-20,05:00:00,20
Pioneer,Partly Cloudy (Night),2024-03-20,05:00:00,12
Pulau Ubin,Partly Cloudy (Night),2024-03-20,05:00:00,3
Punggol,Partly Cloudy (Night),2024-03-20,05:00:00,115
Queenstown,Partly Cloudy (Night),2024-03-20,05:00:00,40
Seletar,Partly Cloudy (Night),2024-03-20,05:00:00,46
Sembawang,Partly Cloudy (Night),2024-03-20,05:00:00,132
Sengkang,Partly Cloudy (Night),2024-03-20,05:00:00,141
Sentosa,Partly Cloudy (Night),2024-03-20,05:00:00,6
Serangoon,Partly Cloudy (Night),2024-03-20,05:00:00,117
Sungei Kadut,Partly Cloudy (Night),2024-03-20,05:00:00,51
Tampines,Partly Cloudy (Night),2024-03-20,05:00:00,192
Tanglin,Partly Cloudy (Night),2024-03-20,05:00:00,60
Tengah,Partly Cloudy (Night),2024-03-20,05:00:00,9
Toa Payoh,Partly Cloudy (Night),2024-03-20,05:00:00,128
Tuas,Partly Cloudy (Night),2024-03-20,05:00:00,5
Woodlands,Partly Cloudy (Night),2024-03-20,05:00:00,205
Yishun,Partly Cloudy (Night),2024-03-20,05:00:00,183
Ang Mo Kio,Partly Cloudy (Day),2024-03-20,06:00:00,78
Bedok,Partly Cloudy (Day),2024-03-20,06:00:00,228
Bishan,Partly Cloudy (Day),2024-03-20,06:00:00,44
Boon Lay,Partly Cloudy (Day),2024-03-20,06:00:00,7
Bukit Batok,Partly Cloudy (Day),2024-03-20,06:00:00,86
Bukit Merah,Partly Cloudy (Day),2024-03-20,06:00:00,208
Bukit Panjang,Partly Cloudy (Day),2024-03-20,06:00:00,51
Bukit Timah,Partly Cloudy (Day),2024-03-20,06:00:00,36
Central Water Catchment,Partly Cloudy (Day),2024-03-20,06:00:00,3
Changi,Partly Cloudy (Day),2024-03-20,06:00:00,896
Choa Chu Kang,Partly Cloudy (Day),2024-03-20,06:00:00,88
City,Partly Cloudy (Day),2024-03-20,06:00:00,321
Clementi,Partly Cloudy (Day),2024-03-20,06:00:00,108
Geylang,Partly Cloudy (Day),2024-03-20,06:00:00,130
Hougang,Partly Cloudy (Day),2024-03-20,06:00:00,91
Jalan Bahar,Partly Cloudy (Day),2024-03-20,06:00:00,10
Jurong East,Partly Cloudy (Day),2024-03-20,06:00:00,55
Jurong Island,Partly Cloudy (Day),2024-03-20,06:00:00,7
Jurong West,Partly Cloudy (Day),2024-03-20,06:00:00,118
Kallang,Partly Cloudy (Day),2024-03-20,06:00:00,172
Lim Chu Kang,Partly Cloudy (Day),2024-03-20,06:00:00,3
Mandai,Partly Cloudy (Day),2024-03-20,06:00:00,12
Marine Parade,Partly Cloudy (Day),2024-03-20,06:00:00,29
Novena,Partly Cloudy (Day),2024-03-20,06:00:00,37
Pasir Ris,Partly Cloudy (Day),2024-03-20,06:00:00,196
Paya Lebar,Partly Cloudy (Day),2024-03-20,06:00:00,28
Pioneer,Partly Cloudy (Day),2024-03-20,06:00:00,25
Pulau Ubin,Partly Cloudy (Day),2024-03-20,06:00:00,8
Punggol,Partly Cloudy (Day),2024-03-20,06:00:00,160
Queenstown,Partly Cloudy (Day),2024-03-20,06:00:00,77
Seletar,Partly Cloudy (Day),2024-03-20,06:00:00,45
Sembawang,Partly Cloudy (Day),2024-03-20,06:00:00,109
Sengkang,Partly Cloudy (Day),2024-03-20,06:00:00,117
Sentosa,Partly Cloudy (Day),2024-03-20,06:00:00,21
Serangoon,Partly Cloudy (Day),2024-03-20,06:00:00,110
Sungei Kadut,Partly Cloudy (Day),2024-03-20,06:00:00,55
Tampines,Partly Cloudy (Day),2024-03-20,06:00:00,258
Tanglin,Partly Cloudy (Day),2024-03-20,06:00:00,104
Tengah,Partly Cloudy (Day),2024-03-20,06:00:00,8
Toa Payoh,Partly Cloudy (Day),2024-03-20,06:00:00,171
Tuas,Partly Cloudy (Day),2024-03-20,06:00:00,6
Woodlands,Partly Cloudy (Day),2024-03-20,06:00:00,160
Yishun,Partly Cloudy (Day),2024-03-20,06:00:00,117
Ang Mo Kio,Partly Cloudy (Day),2024-03-20,07:00:00,86
Bedok,Partly Cloudy (Day),2024-03-20,07:00:00,197
Bishan,Partly Cloudy (Day),2024-03-20,07:00:00,41
Boon Lay,Partly Cloudy (Day),2024-03-20,07:00:00,32
Bukit Batok,Partly Cloudy (Day),2024-03-20,07:00:00,90
Bukit Merah,Partly Cloudy (Day),2024-03-20,07:00:00,242
Bukit Panjang,Partly Cloudy (Day),2024-03-20,07:00:00,52
Bukit Timah,Partly Cloudy (Day),2024-03-20,07:00:00,32
Changi,Partly Cloudy (Day),2024-03-20,07:00:00,871
Choa Chu Kang,Partly Cloudy (Day),2024-03-20,07:00:00,82
City,Partly Cloudy (Day),2024-03-20,07:00:00,273
Clementi,Partly Cloudy (Day),2024-03-20,07:00:00,81
Geylang,Partly Cloudy (Day),2024-03-20,07:00:00,113
Hougang,Partly Cloudy (Day),2024-03-20,07:00:00,79
Jalan Bahar,Partly Cloudy (Day),2024-03-20,07:00:00,14
Jurong East,Partly Cloudy (Day),2024-03-20,07:00:00,67
Jurong Island,Partly Cloudy (Day),2024-03-20,07:00:00,19
Jurong West,Partly Cloudy (Day),2024-03-20,07:00:00,161
Kallang,Partly Cloudy (Day),2024-03-20,07:00:00,154
Lim Chu Kang,Partly Cloudy (Day),2024-03-20,07:00:00,2
Mandai,Partly Cloudy (Day),2024-03-20,07:00:00,12
Marine Parade,Partly Cloudy (Day),2024-03-20,07:00:00,32
Novena,Partly Cloudy (Day),2024-03-20,07:00:00,12
Pasir Ris,Partly Cloudy (Day),2024-03-20,07:00:00,206
Paya Lebar,Partly Cloudy (Day),2024-03-20,07:00:00,32
Pioneer,Partly Cloudy (Day),2024-03-20,07:00:00,108
Pulau Ubin,Partly Cloudy (Day),2024-03-20,07:00:00,8
Punggol,Partly Cloudy (Day),2024-03-20,07:00:00,100
Queenstown,Partly Cloudy (Day),2024-03-20,07:00:00,80
Seletar,Partly Cloudy (Day),2024-03-20,07:00:00,36
Sembawang,Partly Cloudy (Day),2024-03-20,07:00:00,132
Sengkang,Partly Cloudy (Day),2024-03-20,07:00:00,84
Sentosa,Partly Cloudy (Day),2024-03-20,07:00:00,23
Serangoon,Partly Cloudy (Day),2024-03-20,07:00:00,100
Sungei Kadut,Partly Cloudy (Day),2024-03-20,07:00:00,67
Tampines,Partly Cloudy (Day),2024-03-20,07:00:00,329
Tanglin,Partly Cloudy (Day),2024-03-20,07:00:00,70
Tengah,Partly Cloudy (Day),2024-03-20,07:00:00,9
Toa Payoh,Partly Cloudy (Day),2024-03-20,07:00:00,148
Tuas,Partly Cloudy (Day),2024-03-20,07:00:00,42
Western Water Catchment,Partly Cloudy (Day),2024-03-20,07:00:00,1
Woodlands,Partly Cloudy (Day),2024-03-20,07:00:00,213
Yishun,Partly Cloudy (Day),2024-03-20,07:00:00,150
Ang Mo Kio,Partly Cloudy (Day),2024-03-20,08:00:00,94
Bedok,Partly Cloudy (Day),2024-03-20,08:00:00,153
Bishan,Partly Cloudy (Day),2024-03-20,08:00:00,34
Boon Lay,Partly Cloudy (Day),2024-03-20,08:00:00,91
Bukit Batok,Partly Cloudy (Day),2024-03-20,08:00:00,76
Bukit Merah,Partly Cloudy (Day),2024-03-20,08:00:00,240
Bukit Panjang,Partly Cloudy (Day),2024-03-20,08:00:00,49
Bukit Timah,Partly Cloudy (Day),2024-03-20,08:00:00,50
Central Water Catchment,Partly Cloudy (Day),2024-03-20,08:00:00,2
Changi,Partly Cloudy (Day),2024-03-20,08:00:00,781
Choa Chu Kang,Partly Cloudy (Day),2024-03-20,08:00:00,112
City,Partly Cloudy (Day),2024-03-20,08:00:00,533
Clementi,Partly Cloudy (Day),2024-03-20,08:00:00,79
Geylang,Partly Cloudy (Day),2024-03-20,08:00:00,122
Hougang,Partly Cloudy (Day),2024-03-20,08:00:00,71
Jalan Bahar,Partly Cloudy (Day),2024-03-20,08:00:00,36
Jurong East,Partly Cloudy (Day),2024-03-20,08:00:00,99
Jurong Island,Partly Cloudy (Day),2024-03-20,08:00:00,36
Jurong West,Partly Cloudy (Day),2024-03-20,08:00:00,233
Kallang,Partly Cloudy (Day),2024-03-20,08:00:00,151
Lim Chu Kang,Partly Cloudy (Day),2024-03-20,08:00:00,2
Mandai,Partly Cloudy (Day),2024-03-20,08:00:00,13
Marine Parade,Partly Cloudy (Day),2024-03-20,08:00:00,27
Novena,Partly Cloudy (Day),2024-03-20,08:00:00,41
Pasir Ris,Partly Cloudy (Day),2024-03-20,08:00:00,131
Paya Lebar,Partly Cloudy (Day),2024-03-20,08:00:00,31
Pioneer,Partly Cloudy (Day),2024-03-20,08:00:00,153
Pulau Ubin,Partly Cloudy (Day),2024-03-20,08:00:00,18
Punggol,Partly Cloudy (Day),2024-03-20,08:00:00,74
Queenstown,Partly Cloudy (Day),2024-03-20,08:00:00,172
Seletar,Partly Cloudy (Day),2024-03-20,08:00:00,44
Sembawang,Partly Cloudy (Day),2024-03-20,08:00:00,150
Sengkang,Partly Cloudy (Day),2024-03-20,08:00:00,86
Sentosa,Partly Cloudy (Day),2024-03-20,08:00:00,33
Serangoon,Partly Cloudy (Day),2024-03-20,08:00:00,74
Sungei Kadut,Partly Cloudy (Day),2024-03-20,08:00:00,50
Tampines,Partly Cloudy (Day),2024-03-20,08:00:00,270
Tanglin,Partly Cloudy (Day),2024-03-20,08:00:00,64
Tengah,Partly Cloudy (Day),2024-03-20,08:00:00,33
Toa Payoh,Partly Cloudy (Day),2024-03-20,08:00:00,97
Tuas,Partly Cloudy (Day),2024-03-20,08:00:00,84
Western Water Catchment,Partly Cloudy (Day),2024-03-20,08:00:00,1
Woodlands,Partly Cloudy (Day),2024-03-20,08:00:00,238
Yishun,Partly Cloudy (Day),2024-03-20,08:00:00,115
Ang Mo Kio,Partly Cloudy (Day),2024-03-20,09:00:00,106
Bedok,Partly Cloudy (Day),2024-03-20,09:00:00,174
Bishan,Partly Cloudy (Day),2024-03-20,09:00:00,44
Boon Lay,Partly Cloudy (Day),2024-03-20,09:00:00,46
Bukit Batok,Partly Cloudy (Day),2024-03-20,09:00:00,76
Bukit Merah,Partly Cloudy (Day),2024-03-20,09:00:00,412
Bukit Panjang,Partly Cloudy (Day),2024-03-20,09:00:00,46
Bukit Timah,Partly Cloudy (Day),2024-03-20,09:00:00,87
Central Water Catchment,Partly Cloudy (Day),2024-03-20,09:00:00,4
Changi,Partly Cloudy (Day),2024-03-20,09:00:00,714
Choa Chu Kang,Partly Cloudy (Day),2024-03-20,09:00:00,89
City,Partly Cloudy (Day),2024-03-20,09:00:00,1038
Clementi,Partly Cloudy (Day),2024-03-20,09:00:00,207
Geylang,Partly Cloudy (Day),2024-03-20,09:00:00,252
Hougang,Partly Cloudy (Day),2024-03-20,09:00:00,65
Jalan Bahar,Partly Cloudy (Day),2024-03-20,09:00:00,39
Jurong East,Partly Cloudy (Day),2024-03-20,09:00:00,166
Jurong Island,Partly Cloudy (Day),2024-03-20,09:00:00,23
Jurong West,Partly Cloudy (Day),2024-03-20,09:00:00,374
Kallang,Partly Cloudy (Day),2024-03-20,09:00:00,366
Lim Chu Kang,Partly Cloudy (Day),2024-03-20,09:00:00,1
Mandai,Partly Cloudy (Day),2024-03-20,09:00:00,12
Marine Parade,Partly Cloudy (Day),2024-03-20,09:00:00,77
Novena,Partly Cloudy (Day),2024-03-20,09:00:00,54
Pasir Ris,Partly Cloudy (Day),2024-03-20,09:00:00,207
Paya Lebar,Partly Cloudy (Day),2024-03-20,09:00:00,33
Pioneer,Partly Cloudy (Day),2024-03-20,09:00:00,118
Pulau Ubin,Partly Cloudy (Day),2024-03-20,09:00:00,25
Punggol,Partly Cloudy (Day),2024-03-20,09:00:00,81
Queenstown,Partly Cloudy (Day),2024-03-20,09:00:00,298
Seletar,Partly Cloudy (Day),2024-03-20,09:00:00,46
Sembawang,Partly Cloudy (Day),2024-03-20,09:00:00,123
Sengkang,Partly Cloudy (Day),2024-03-20,09:00:00,93
Sentosa,Partly Cloudy (Day),2024-03-20,09:00:00,16
Serangoon,Partly Cloudy (Day),2024-03-20,09:00:00,80
Sungei Kadut,Partly Cloudy (Day),2024-03-20,09:00:00,47
Tampines,Partly Cloudy (Day),2024-03-20,09:00:00,335
Tanglin,Partly Cloudy (Day),2024-03-20,09:00:00,120
Tengah,Partly Cloudy (Day),2024-03-20,09:00:00,34
Toa Payoh,Partly Cloudy (Day),2024-03-20,09:00:00,178
Tuas,Partly Cloudy (Day),2024-03-20,09:00:00,51
Western Water Catchment,Partly Cloudy (Day),2024-03-20,09:00:00,2
Woodlands,Partly Cloudy (Day),2024-03-20,09:00:00,195
Yishun,Partly Cloudy (Day),2024-03-20,09:00:00,111
Ang Mo Kio,Partly Cloudy (Day),2024-03-20,10:00:00,125
Bedok,Partly Cloudy (Day),2024-03-20,10:00:00,228
Bishan,Partly Cloudy (Day),2024-03-20,10:00:00,57
Boon Lay,Partly Cloudy (Day),2024-03-20,10:00:00,19
Bukit Batok,Partly Cloudy (Day),2024-03-20,10:00:00,141
Bukit Merah,Partly Cloudy (Day),2024-03-20,10:00:00,621
Bukit Panjang,Partly Cloudy (Day),2024-03-20,10:00:00,78
Bukit Timah,Partly Cloudy (Day),2024-03-20,10:00:00,132
Central Water Catchment,Partly Cloudy (Day),2024-03-20,10:00:00,1
Changi,Partly Cloudy (Day),2024-03-20,10:00:00,832
Choa Chu Kang,Partly Cloudy (Day),2024-03-20,10:00:00,99
City,Partly Cloudy (Day),2024-03-20,10:00:00,1206
Clementi,Partly Cloudy (Day),2024-03-20,10:00:00,198
Geylang,Partly Cloudy (Day),2024-03-20,10:00:00,369
Hougang,Partly Cloudy (Day),2024-03-20,10:00:00,76
Jalan Bahar,Partly Cloudy (Day),2024-03-20,10:00:00,27
Jurong East,Partly Cloudy (Day),2024-03-20,10:00:00,126
Jurong Island,Partly Cloudy (Day),2024-03-20,10:00:00,11
Jurong West,Partly Cloudy (Day),2024-03-20,10:00:00,238
Kallang,Partly Cloudy (Day),2024-03-20,10:00:00,558
Mandai,Partly Cloudy (Day),2024-03-20,10:00:00,10
Marine Parade,Partly Cloudy (Day),2024-03-20,10:00:00,95
Novena,Partly Cloudy (Day),2024-03-20,10:00:00,89
Pasir Ris,Partly Cloudy (Day),2024-03-20,10:00:00,143
Paya Lebar,Partly Cloudy (Day),2024-03-20,10:00:00,44
Pioneer,Partly Cloudy (Day),2024-03-20,10:00:00,61
Pulau Ubin,Partly Cloudy (Day),2024-03-20,10:00:00,4
Punggol,Partly Cloudy (Day),2024-03-20,10:00:00,103
Queenstown,Partly Cloudy (Day),2024-03-20,10:00:00,298
Seletar,Partly Cloudy (Day),2024-03-20,10:00:00,39
Sembawang,Partly Cloudy (Day),2024-03-20,10:00:00,92
Sengkang,Partly Cloudy (Day),2024-03-20,10:00:00,95
Sentosa,Partly Cloudy (Day),2024-03-20,10:00:00,46
Serangoon,Partly Cloudy (Day),2024-03-20,10:00:00,91
Sungei Kadut,Partly Cloudy (Day),2024-03-20,10:00:00,64
