AREA,FORECAST,DATE,TIME,Count
Seletar,Fair (Night),2024-03-15,02:00:00,62
Sembawang,Fair (Night),2024-03-15,02:00:00,194
Sengkang,Fair (Night),2024-03-15,02:00:00,171
Sentosa,Fair (Night),2024-03-15,02:00:00,39
Serangoon,Fair (Night),2024-03-15,02:00:00,173
Sungei Kadut,Fair (Night),2024-03-15,02:00:00,82
Tampines,Fair (Night),2024-03-15,02:00:00,238
Tanglin,Fair (Night),2024-03-15,02:00:00,57
Tengah,Fair (Night),2024-03-15,02:00:00,7
Toa Payoh,Fair (Night),2024-03-15,02:00:00,214
Tuas,Fair (Night),2024-03-15,02:00:00,9
Woodlands,Fair (Night),2024-03-15,02:00:00,308
Yishun,Fair (Night),2024-03-15,02:00:00,187
Ang Mo Kio,Fair (Night),2024-03-15,03:00:00,108
Bedok,Fair (Night),2024-03-15,03:00:00,232
Bishan,Fair (Night),2024-03-15,03:00:00,61
Boon Lay,Fair (Night),2024-03-15,03:00:00,2
Bukit Batok,Fair (Night),2024-03-15,03:00:00,117
Bukit Merah,Fair (Night),2024-03-15,03:00:00,125
Bukit Panjang,Fair (Night),2024-03-15,03:00:00,75
Bukit Timah,Fair (Night),2024-03-15,03:00:00,51
Central Water Catchment,Fair (Night),2024-03-15,03:00:00,2
Changi,Fair (Night),2024-03-15,03:00:00,513
Choa Chu Kang,Fair (Night),2024-03-15,03:00:00,129
City,Fair (Night),2024-03-15,03:00:00,306
Clementi,Fair (Night),2024-03-15,03:00:00,77
Geylang,Fair (Night),2024-03-15,03:00:00,309
Hougang,Fair (Night),2024-03-15,03:00:00,105
Jalan Bahar,Fair (Night),2024-03-15,03:00:00,1
Jurong East,Fair (Night),2024-03-15,03:00:00,75
Jurong Island,Fair (Night),2024-03-15,03:00:00,1
Jurong West,Fair (Night),2024-03-15,03:00:00,166
Kallang,Fair (Night),2024-03-15,03:00:00,286
Mandai,Fair (Night),2024-03-15,03:00:00,15
Marine Parade,Fair (Night),2024-03-15,03:00:00,35
Novena,Fair (Night),2024-03-15,03:00:00,36
Pasir Ris,Fair (Night),2024-03-15,03:00:00,129
Paya Lebar,Fair (Night),2024-03-15,03:00:00,24
Pioneer,Fair (Night),2024-03-15,03:00:00,12
Pulau Ubin,Fair (Night),2024-03-15,03:00:00,2
Punggol,Fair (Night),2024-03-15,03:00:00,147
Queenstown,Fair (Night),2024-03-15,03:00:00,29
Seletar,Fair (Night),2024-03-15,03:00:00,52
Sembawang,Fair (Night),2024-03-15,03:00:00,155
Sengkang,Fair (Night),2024-03-15,03:00:00,164
